"antimicrobial_compound","farm_type","continent","Mean","no_isolates","CILow","CIHigh"
"AMC","Conventional","Europe",14,238,10,18
"AMP","Conventional","Europe",100,238,100,100
"APR","Conventional","Europe",4,238,2,6
"CEF","Conventional","Europe",2,238,0,4
"CEQ","Conventional","Europe",2,238,0,4
"CLIN","Conventional","Europe",64,238,58,70
"CTF","Conventional","Europe",17,238,12,22
"ENR","Conventional","Europe",14,238,10,18
"ERY","Conventional","Europe",64,238,58,70
"FLO","Conventional","Europe",6,238,3,9
"GEN","Conventional","Europe",15,238,10,20
"NEO","Conventional","Europe",2,238,0,4
"PEN","Conventional","Europe",100,238,100,100
"SPT","Conventional","Europe",43,238,37,49
"TET","Conventional","Europe",98,238,96,100
"TIA","Conventional","Europe",12,238,8,16
"TIL","Conventional","Europe",62,238,56,68
"TMP-SMZ","Conventional","Europe",24,238,19,29
"AMC","Organic","Europe",14,35,3,25
"AMP","Organic","Europe",100,35,100,100
"APR","Organic","Europe",23,35,9,37
"CLIN","Organic","Europe",46,35,29,63
"CTF","Organic","Europe",14,35,3,25
"ENR","Organic","Europe",34,35,18,50
"ERY","Organic","Europe",49,35,32,66
"FLO","Organic","Europe",3,35,0,9
"GEN","Organic","Europe",34,35,18,50
"PEN","Organic","Europe",100,35,100,100
"SPT","Organic","Europe",43,35,27,59
"TET","Organic","Europe",100,35,100,100
"TIA","Organic","Europe",11,35,1,21
"TIL","Organic","Europe",40,35,24,56
"TMP-SMZ","Organic","Europe",11,35,1,21
