"doi","tittle","author","year","author_year","journal","country","iso_3","locality","continent","longitude","latitude","farm_type","sample_type","sampling_end_date","host","age","antimicrobial","antimicrobial_compound","antimicrobial_class","who_classification","mode_of_action","no_isolates_resistant","no_isolates_intermidiate","no_isolates_susceptible","no_isolates","percent_resistant","percent_intermediate","percent_susceptible","pathogen","strain","odd_ratio","p_value","mic_breakpoint_mg_m_l","mic_minimum_ihibitory_concentration_mg_m_l","production_system","sampling_start_date","no_samples","no_isolates_resistant_to_more_than_one_antimicrobial","prevalence_percent","controls_strain","method","no_organic_production_farms","no_conventonal_production_farms","withdrawal_period_in_years_of_antimicrobials_prior_to_experiment","guidelines","statistical_analyses","laboratory_test","farm_characteristics","notes"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Ampicillin","AMP","Amino-penicillin","Critically important","Bactericidal",93,551,477,1121,8.296164139,49.15254237,42.55129349,"E.coli","","2.055","<0.001","32","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Amoxicillin-clavulanic acid","AMC","Aminopenicillin - betalactamase inhibitors","Critically important","Bactericidal",10,551,560,1121,0.8920606601,49.15254237,49.95539697,"E.coli","","1.98","0.214","32","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Cephalothin","CEF","1st_gen cephalosporin","Highly important","Bactericidal",23,551,547,1121,2.051739518,49.15254237,48.79571811,"E.coli","","0.969","0.918","32","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Cefoxitin","FOX","2nd_gen cephalosporin","Highly important","Bactericidal",8,553,560,1121,0.7136485281,49.3309545,49.95539697,"E.coli","","3.997","0.081","32","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Ceftiofur","CTF","3rd_gen cephalosporin","Critically important","Bactericidal",6,551,564,1121,0.5352363961,49.15254237,50.31222123,"E.coli","","5.91","0.101","8","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Ceftriaxone","CRO","3rd_gen cephalosporin","Critically important","Bactericidal",0,551,570,1121,0,49.15254237,50.84745763,"E.coli","","NA","NA","32","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Streptomycin","STR","Aminoglycoside","Critically important","Bactericidal",105,551,465,1121,9.366636931,49.15254237,41.4808207,"E.coli","","1.755","0.002","64","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Kanamycin","KAN","Aminoglycoside","Critically important","Bactericidal",107,552,462,1121,9.545049063,49.24174844,41.2132025,"E.coli","","2.588","<0.001","64","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Gentamycin","GEN","Aminoglycoside","Critically important","Bactericidal",22,551,548,1121,1.962533452,49.15254237,48.88492417,"E.coli","","3.241","0.008","16","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Kenji 2005","Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin","North America",42.862956,-90.561593,"Conventional","Feacal",2001,"Cattle","Lactating cows and less than 6 months calves","Apramycin","APR","Aminoglycoside","Critically important","Bactericidal",7,551,563,1121,0.6244424621,49.15254237,50.22301517,"E.coli","","2.262","0.239","32","","Dairy",2000,1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
