"doi","farm_type","host","percent_resistant"
"DOI: 10.1016/j.meatsci.2009.01.020","Conventional","Cattle",22
"DOI: 10.1089/107662903322541883","Conventional","Cattle",15
"DOI: 10.1089=fpd.2010.0632","Conventional","Cattle",5
"DOI: 10.2460/javma.228.7.1074","Conventional","Cattle",10
"DOI: 10.3168/jds.S0022-0302(06)72271-8","Conventional","Cattle",13
"DOI: 10.3390/antibiotics9110834","Conventional","Cattle",11
"DOI: 10.4315/0362-028x-67.7.1433","Conventional","Cattle",15
"doi: 10.4315/0362-028x-69.3.482.","Conventional","Cattle",9
"doi.org/10.1080/11358120902907014","Conventional","Cattle",18
"doi.org/10.3168/jds.2017-12939","Conventional","Cattle",33
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle",2
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Conventional","Cattle",18
"https://doi.org/10.5713/ajas.2010.90345","Conventional","Cattle",45
"www.researchgate.net/publication/288728634","Conventional","Cattle",14
"DOI: 10.1016/j.meatsci.2009.01.020","Organic","Cattle",16
"DOI: 10.1089/107662903322541883","Organic","Cattle",9
"DOI: 10.1089=fpd.2010.0632","Organic","Cattle",4
"DOI: 10.2460/javma.228.7.1074","Organic","Cattle",9
"DOI: 10.3168/jds.S0022-0302(06)72271-8","Organic","Cattle",8
"DOI: 10.3390/antibiotics9110834","Organic","Cattle",12
"DOI: 10.4315/0362-028x-67.7.1433","Organic","Cattle",12
"doi: 10.4315/0362-028x-69.3.482.","Organic","Cattle",7
"doi.org/10.1080/11358120902907014","Organic","Cattle",12
"doi.org/10.3168/jds.2017-12939","Organic","Cattle",31
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle",6
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Organic","Cattle",9
"https://doi.org/10.5713/ajas.2010.90345","Organic","Cattle",14
"PMID: 24053020","Organic","Cattle",7
"www.researchgate.net/publication/288728634","Organic","Cattle",2
"DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken",25
"DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken",28
"DOI: 10.1089/fpd.2010.0566","Conventional","Chicken",26
"DOI: 10.1089/fpd.2011.0852","Conventional","Chicken",10
"DOI: 10.1089/fpd.2016.2161","Conventional","Chicken",29
