"doi","continent","country","farm_type","host","antimicrobial","antimicrobial_compound","antimicrobial_class","who_classification","mean","percent_resistant","pathogen","variance","stdevD","totRes","totInt","totSus","N","sampling_end_date"
"DOI: 10.1016/j.prevetmed.2019.104755","Europe","Austria","Organic","Chicken","Trimethoprim","TMP","Sulfonamide","Highly important",77,18,"E.coli",4.0190297846223,2.00475180125179,739,0,5033,30198,2016
"DOI: 10.1016/j.prevetmed.2019.104755","Europe","Austria","Organic","Chicken","Trimethoprim","TMP","Sulfonamide","Highly important",77,7,"E.coli",4.0190297846223,2.00475180125179,739,0,5033,30198,2016
"DOI: 10.1016/j.prevetmed.2019.104755","Europe","Austria","Organic","Chicken","Trimethoprim","TMP","Sulfonamide","Highly important",77,12,"E.coli",4.0190297846223,2.00475180125179,739,0,5033,30198,2016
"DOI: 10.1016/j.prevetmed.2019.104755","Europe","Austria","Organic","Chicken","Trimethoprim","TMP","Sulfonamide","Highly important",77,24,"E.coli",4.0190297846223,2.00475180125179,739,0,5033,30198,2016
"DOI: 10.1016/j.prevetmed.2019.104755","Europe","Austria","Organic","Chicken","Trimethoprim","TMP","Sulfonamide","Highly important",77,10,"E.coli",4.0190297846223,2.00475180125179,739,0,5033,30198,2016
"DOI: 10.1016/j.prevetmed.2019.104755","Europe","Austria","Organic","Chicken","Trimethoprim","TMP","Sulfonamide","Highly important",77,6,"E.coli",4.0190297846223,2.00475180125179,739,0,5033,30198,2016
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Penicillin","PEN","Penicillin","Highly important",88,88,"S.aureus",0.1056,0.324961536185438,88,0,12,12,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Cloxacillin","CLOXA","Penicillin","Critically important",13,12,"S.aureus",0.1131,0.336303434416005,13,0,87,87,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Novobiocin","NB","Aminocoumarin",NA,13,12,"S.aureus",0.1131,0.336303434416005,13,0,87,87,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Ampicillin","AMP","Penicillin","Critically important",75,75,"S.aureus",0.1875,0.433012701892219,75,0,25,25,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Amoxicillin-clavulanic acid","AMC","Aminopenicillin - betalactamase inhibitors","Critically important",38,38,"S.aureus",0.2356,0.485386443980464,38,0,62,62,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Cefalexin","CEX","1st_gen cephalosporin","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Cefquinome","CEQ","4th_gen cephalosporin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Ceftiofur","CTF","3rd_gen cephalosporin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Cefoperazone","CFP","3rd_gen cephalosporin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Kanamycin","KAN","Aminoglycoside","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Gentamycin","GEN","Aminoglycoside","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Florfenicol","FLO","Amphenicol","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Doxycycline","DOX","Tetracycline","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Tetracycline","TET","Tetracycline","Highly important",13,12,"S.aureus",0.1131,0.336303434416005,13,0,87,87,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Erythromycin","ERY","Macrolide","Critically important",13,12,"S.aureus",0.1131,0.336303434416005,13,0,87,87,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Spiramycin","SPM","Macrolide","Critically important",13,12,"S.aureus",0.1131,0.336303434416005,13,0,87,87,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Tylosin","TYL","Macrolide","Critically important",13,12,"S.aureus",0.1131,0.336303434416005,13,0,87,87,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Pirlimycin","PIR","Lincosamides","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Lincomycin","LCM","Lincosamides","Highly important",25,25,"S.aureus",0.1875,0.433012701892219,25,0,75,75,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Trimethoprim","TMP","Sulfonamide","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Conventional","Cattle","Enrofloxacin","ENR","Quinolones","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Penicillin","PEN","Penicillin","Highly important",20,20,"S.aureus",0.16,0.4,20,0,80,80,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Cloxacillin","CLOXA","Penicillin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Novobiocin","NB","Aminocoumarin",NA,0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Ampicillin","AMP","Penicillin","Critically important",20,20,"S.aureus",0.16,0.4,20,0,80,80,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Amoxicillin-clavulanic acid","AMC","Aminopenicillin - betalactamase inhibitors","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Cefalexin","CEX","1st_gen cephalosporin","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Cefquinome","CEQ","4th_gen cephalosporin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Ceftiofur","CTF","3rd_gen cephalosporin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Cefoperazone","CFP","3rd_gen cephalosporin","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Kanamycin","KAN","Aminoglycoside","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Gentamycin","GEN","Aminoglycoside","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Florfenicol","FLO","Amphenicol","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Doxycycline","DOX","Tetracycline","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Tetracycline","TET","Tetracycline","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Erythromycin","ERY","Macrolide","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Spiramycin","SPM","Macrolide","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Tylosin","TYL","Macrolide","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Pirlimycin","PIR","Lincosamides","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Lincomycin","LCM","Lincosamides","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Trimethoprim","TMP","Sulfonamide","Highly important",0,0,"S.aureus",0,0,0,0,100,100,2003
"www.researchgate.net/publication/288728634","Europe","Belgium","Organic","Cattle","Enrofloxacin","ENR","Quinolones","Critically important",0,0,"S.aureus",0,0,0,0,100,100,2003
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Ampicillin","AMP","Penicillin","Critically important",19,18,"E.coli",0.151339579224195,0.389023880017917,29,0,127,127,NA
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Amoxicillin-clavulanic acid","AMC","Aminopenicillin - betalactamase inhibitors","Critically important",0,0,"E.coli",0,0,0,0,156,156,NA
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Cefazolin","CFZ","1st_gen cephalosporin","Highly important",3,3,"E.coli",0.0310239973701512,0.176136303385052,5,0,151,151,NA
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Ceftazadime","CAZI","3rd_gen cephalosporin","Critically important",0,0,"E.coli",0,0,0,0,156,156,NA
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Cefotaxime","CTX","3rd_gen cephalosporin","Critically important",0,0,"E.coli",0,0,0,0,156,156,NA
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Cefoxitin","FOX","2nd_gen cephalosporin","Highly important",0,0,"E.coli",0,0,0,0,156,156,NA
"http://dx.doi.org/10.1155/2015/618752","South America","Brazil","Organic","Chicken","Chloromphenicol","CHL","Amphenicol","Highly important",3,3,"E.coli",0.0310239973701512,0.176136303385052,5,0,151,151,NA
