"continent","doi","farm_type","host","antimicrobial_compound","pathogen","percent_resistant","no_isolates"
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","AMP","E.coli",75,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","CAZI","E.coli",0,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","CIP","E.coli",50,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","CST","E.coli",0,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","CTX","E.coli",0,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","GEN","E.coli",0,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","KAN","E.coli",0,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","NAL","E.coli",50,4
"Europe","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","STR","E.coli",50,4
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","CIP","S.aureus",40,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","CLIN","S.aureus",20,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","ERY","S.aureus",20,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","GEN","S.aureus",60,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","KAN","S.aureus",60,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","LZD","S.aureus",0,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","RMP","S.aureus",0,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","STR","S.aureus",20,5
"Europe","doi.org/10.3168/jds.2017-12939","Organic","Cattle","VAN","S.aureus",0,5
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","AMC","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","AMK","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","AMP","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","CIP","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","CTX","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","ENR","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","ERY","Salmonella",100,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","GEN","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","IMP","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","NOR","Salmonella",0,10
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","STR","Salmonella",0,10
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","AMC","Salmonella",42,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","AMK","Salmonella",0,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","AMP","Salmonella",50,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","CIP","Salmonella",0,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","CRO","Salmonella",0,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","CTF","Salmonella",8,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","GEN","Salmonella",17,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","KAN","Salmonella",8,12
