"country","doi","farm_type","host","antimicrobial_class","pathogen","percent_resistant","no_isolates"
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","3rd_gen cephalosporin","E.coli",0,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Amino-penicillin","E.coli",75,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Aminoglycoside","E.coli",17,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Amphenicol","E.coli",0,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Polymyxins","E.coli",0,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Quinolones","E.coli",50,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Sulfonamide","E.coli",50,4
"Italy","DOI: 10.1016/j.psj.2019.10.027","Organic","Turkey","Tetracycline","E.coli",75,4
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","2nd_gen cephalosporin","S.aureus",100,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Aminoglycoside","S.aureus",47,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Amphenicol","S.aureus",0,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Ansamycin","S.aureus",0,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Glycopeptides","S.aureus",0,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Macrolide","S.aureus",20,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Oxazolidinones","S.aureus",0,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Penicillin","S.aureus",100,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Pleuromutilins","S.aureus",20,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Pseudomonic acids","S.aureus",0,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Quinolones","S.aureus",40,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Steroids antibacterials","S.aureus",0,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Streptogramins","S.aureus",20,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Sulfonamide","S.aureus",20,5
"Germany","doi.org/10.3168/jds.2017-12939","Organic","Cattle","Tetracycline","S.aureus",80,5
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","1st_gen cephalosporin","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","2nd_gen cephalosporin","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","3rd_gen cephalosporin","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Amino-penicillin","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Aminoglycoside","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Amphenicol","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Carbapenem","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Macrolide","Salmonella",100,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Quinolones","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Sulfonamide","Salmonella",0,10
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Organic","Chicken","Tetracycline","Salmonella",0,10
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","1st_gen cephalosporin","Salmonella",42,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","2nd_gen cephalosporin","Salmonella",9,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","3rd_gen cephalosporin","Salmonella",4,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Amino-penicillin","Salmonella",50,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Aminoglycoside","Salmonella",21,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",42,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Amphenicol","Salmonella",0,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Quinolones","Salmonella",0,12
