"doi","farm_type","sampling_end_date","mean"
"DOI: 10.1089/107662903322541883","Conventional",2001,15
"DOI: 10.2460/javma.228.7.1074","Conventional",2001,10
"DOI: 10.3168/jds.S0022-0302(06)72271-8","Conventional",2001,1
"https://doi.org/10.1080/00480169.2008.36801","Conventional",2001,39
"DOI: 10.1089/107662903322541883","Organic",2001,9
"DOI: 10.2460/javma.228.7.1074","Organic",2001,9
"https://doi.org/10.1080/00480169.2008.36801","Organic",2001,3
"DOI: 10.1128/AEM.72.5.3600-3607.2006","Conventional",2002,24
"DOI: 10.1128/AEM.72.5.3600-3607.2006","Organic",2002,6
"doi: 10.1128/AEM.71.7.4108-4111.2005","Conventional",2003,44
"DOI: 10.2460/javma.231.2.275","Conventional",2003,15
"DOI: 10.2460/javma.236.2.201","Conventional",2003,23
"DOI: 10.4315/0362-028x-67.7.1433","Conventional",2003,16
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional",2003,2
"www.researchgate.net/publication/288728634","Conventional",2003,14
"doi: 10.1128/AEM.71.7.4108-4111.2005","Organic",2003,41
"DOI: 10.2460/javma.231.2.275","Organic",2003,11
"DOI: 10.2460/javma.236.2.201","Organic",2003,6
"DOI: 10.4315/0362-028x-67.7.1433","Organic",2003,13
"doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic",2003,6
"www.researchgate.net/publication/288728634","Organic",2003,2
"DOI: 10.4315/0362-028x-68.11.2402","Conventional",2004,12
"DOI: 10.4315/0362-028x-69.4.743","Conventional",2004,8
"DOI: 10.4315/0362-028x-68.11.2402","Organic",2004,10
"DOI: 10.4315/0362-028x-69.4.743","Organic",2004,14
"DOI: 10.1089/fpd.2010.0665","Conventional",2005,14
"DOI: 10.1111/j.1863-2378.2008.01151.x","Conventional",2005,6
"DOI: 10.1111/j.1863-2378.2008.01229.x","Conventional",2005,10
"DOI: 10.4315/0362-028x-70.4.1021","Conventional",2005,14
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Conventional",2005,16
"DOI: 10.1089/fpd.2010.0665","Organic",2005,11
"DOI: 10.1111/j.1863-2378.2008.01151.x","Organic",2005,4
"DOI: 10.1111/j.1863-2378.2008.01229.x","Organic",2005,6
"DOI: 10.4315/0362-028x-70.4.1021","Organic",2005,4
"https://doi.org/10.1111/j.1365-2672.2007.03681.x","Organic",2005,8
"DOI: 10.4315/0362-028x-71.12.2537","Conventional",2006,39
"DOI: 10.4315/0362-028x-71.12.2537","Organic",2006,32
"DOI: 10.1089=fpd.2008.0171","Conventional",2007,16
"DOI: 10.4315/0362-028x-72.6.1165","Conventional",2007,11
"doi.org/10.1080/11358120902907014","Conventional",2007,29
"DOI: 10.1089=fpd.2008.0171","Organic",2007,12
"DOI: 10.4315/0362-028x-72.6.1165","Organic",2007,4
"doi.org/10.1080/11358120902907014","Organic",2007,18
"DOI: 10.1016/j.scitotenv.2013.12.005","Conventional",2008,29
"DOI: 10.1289/ehp.1003350","Conventional",2008,57
"https://doi.org/10.5713/ajas.2010.90345","Conventional",2008,46
"DOI: 10.1016/j.scitotenv.2013.12.005","Organic",2008,17
"DOI: 10.1289/ehp.1003350","Organic",2008,31
"doi: 10.3382/ps.2013-03729.","Organic",2008,63
"https://doi.org/10.5713/ajas.2010.90345","Organic",2008,14
"doi:10.2134/jeq2015.05.0245","Conventional",2009,65
"doi:10.2134/jeq2015.05.0245","Organic",2009,35
"PMID: 22468028","Organic",2009,7
"DOI: 10.1089/fpd.2011.0852","Conventional",2010,20
"DOI: 10.1128/AEM.01419-13","Conventional",2010,30
"doi: 10.1128/AEM.07723-11","Conventional",2010,25
"https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional",2010,37
"DOI: 10.1089/fpd.2011.0852","Organic",2010,6
"doi: 10.1128/AEM.07723-11","Organic",2010,32
